Company,brand_name,key ingredients,key benefits,rating,number of rating
SBL Justicia Adhatoda Mother Tincture Q,SBL Pvt Ltd,NA,"['Effective remedy for respiratory-related concerns', 'Reduces cough, relieves chest congestion, and minimises mucus', 'Relieves headache from cough', 'Eases excessive sneezing and breathing concerns']",4.7,354 Ratings
Bakson's Homeopathy Gastro Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Effective tablets for digestion help improve digestion and gut health', 'Potent tablet for gastric affections and helps manage gastritis', 'Helps prevent diarrhoea', 'Tablets for constipation management']",4.5,216 Ratings
Allen A87 Creatinine & Blood Urea Drop,Allen Homoeo & Herbal Products Ltd,NA,"['It can help reduce the nitrogenous waste products in the body', 'The drop can aid in managing high creatinine and urea levels', 'Minimises the risk of kidney infections', 'It can help deal with metabolic disturbances']",4.6,233 Ratings
Bakson's Homeopathy Biocombination 7 Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Helps with liver and kidney functions', 'Relieves cramps and sleeplessness', 'Aids in regulating sugar levels']",4.4,16 Ratings
Dr. Reckeweg Bio-Combination 20 (BC 20) Tablet,Dr Reckeweg & Co,NA,"['Helps reduce acne breakouts', 'Aids in the treatment of skin conditions such as eczema', 'Reduces cracks and blemishes']",4.3,219 Ratings
Bjain Syzygium Jambolanum Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,NA,"['It is effective for complaints of small red papules with itching', 'It helps in reducing raised blood sugar levels', 'It helps in the management of diabetes and high sugar in the urine']",4.6,377 Ratings
SBL Aspidosperma Quebracho Mother Tincture Q,SBL Pvt Ltd,NA,"['It is used for treating disorders associated with the respiratory system', 'Highly beneficial for people suffering from asthma and influenza', 'It helps in relieving congestion in the chest and prevents frequent coughing']",4.5,286 Ratings
Dr Willmar Schwabe Germany Biofungin Syrup,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps relieve fatigue and weakness', 'Re-energises the body and restores body functions', 'Enhances the immune system', 'Improves lack of appetite and promotes recovery']",4.6,190 Ratings
SBL Echinacea Angustifolia Mother Tincture Q,SBL Pvt Ltd,NA,"['It is an excellent remedy for lymphatic inflammation and foul discharges with debility and fatigue', 'It treats mental confusion, depression and diziness', 'It treats dryness of mouth by promoting saliva', 'In females, it helps to treat abnormal discharges from the vagina']",4.6,343 Ratings
SBL Sulphur Dilution 200 CH,SBL Pvt Ltd,NA,"['This dilution can help improve skin ailments', 'It soothes the skin and relieves dryness and itchiness', 'It is a homoeopathic medicine']",4.4,1197 Ratings
SBL Pulsatilla Nigricans Dilution 30 CH,SBL Pvt Ltd,NA,"['An effective solution for multiple health concerns', 'Relieves dry cough and sore throat', 'Soothes chronic ear pain and otitis media', 'Provides relief from headaches and migraines']",4.6,760 Ratings
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,NA,"['Addresses problems related to piles', 'Soothes pain in the area', 'Helps with constipation problems', 'Helps with bleeding, non-bleeding, internal, external and blind haemorrhoids', 'Safe for consumption']",4.3,320 Ratings
ADEL 28 Plevent Drop,Adel Pekana Germany,NA,"['Supports the liver and gallbladder, and eliminates dyspeptic complaints', 'Stimulates the kidneys as a diuretic and helps increase the excretion of toxins', 'Enables the organs directly and indirectly to address lipid disruption', 'Enhances liver-kidney function and has special abilities to address gallbladder and kidney stones']",4.6,186 Ratings
Dr. Reckeweg Arnica Mont Dilution 200 CH,Dr Reckeweg & Co,NA,"['It helps to restrict bleeding', 'It can help reduce swelling and soreness', 'It can help with dizziness, pain and motion sickness']",4.6,552 Ratings
SBL Carbo Vegetabilis Dilution 200 CH,SBL Pvt Ltd,NA,"['Relieves gum swelling and ulcers', 'Relieves flatulence, stomach cramps and indigestion', 'Improves breathing due to chest openness', 'Made from homoeopathic constitution, this medicine has no side effects']",4.6,1248 Ratings
Bakson B33 Cough Drop,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Unique herbal formulation that are effective bronchi relaxants, expectorants and respiratory demulcents', 'Manages infections, allergies, inflammation and other kinds of issues faced by the respiratory tract', 'Fights against infection and useful in sore throat', 'Relieves all types of cough']",4.4,129 Ratings
SBL Mullein Ear Drop,SBL Pvt Ltd,NA,"['Relieves ear pain and inflammation', 'Useful for fungal infection of the ear', 'Helps relieve ear itching and irritation', 'Helps with dry scaling of the inner ear']",4.5,528 Ratings
Essentia Aurea Gold Drop,Dr Willmar Schwabe India Pvt Ltd,NA,"['Regulates the pulse, lowers the blood pressure', 'Reduces crustaceous and calcareous deposits in the arteries', 'Controls insomnia, trembling, cold sweating and cardiac-related mental nervousness']",4.6,351 Ratings
Wheezal Hekla Lava Tooth Powder,Wheezal Homeo Pharma,NA,"['Helps treat dental neuralgia and decaying teeth', 'Useful in the treatment of bleeding gums', 'Helpful in treating toothache']",4.5,522 Ratings
Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,Dr Willmar Schwabe India Pvt Ltd,NA,"['Useful in acidity, dyspepsia, bloating, deranged digestion and flatulence', 'It manages bloating, indigestion and gastric problems', 'Used in colic, diarrhoea with extremely loose bowel movement and painful haemorrhoids', 'Acts as a tonic and helps to improve the appetite and provide benefits on the intestinal spasm']",4.3,367 Ratings
Dr. Reckeweg Carbo Veg Dilution 200 CH,Dr Reckeweg & Co,NA,"['Helps fight against constipation', 'Relieves gum swelling and ulcers', 'Improves your digestive health']",4.7,751 Ratings
SBL Drops No. 4 (For BP),SBL Pvt Ltd,NA,"['Calms your nerves', 'Caters to sleeplessness accompanied by headache', 'Provides relief from burning sensation', 'Regulates high blood pressure']",4.5,308 Ratings
Bakson's Homeopathy Astha Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Helps fight chronic bronchitis', 'Aids in managing cough', 'Helps deal with breathing difficulties']",4.3,78 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
SBL Drops No. 8 ( For Allergic Rhinitis),SBL Pvt Ltd,NA,"['Can help relieve allergic rhinitis', 'May ease sneezing and burning sensation', 'Helps reduce symptoms associated with coryza']",4.4,317 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Acidum Phosphoricum Dilution 200 CH,SBL Pvt Ltd,NA,"['Maintains concentration, focus, memory, and overall mood', 'Alleviates irritated and itchy eyes, aiding in eye soreness', 'Improves digestion, stimulates appetite, and acts as a mild sedative']",4.5,412 Ratings
Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Improves blood circulation to the heart and also strengthens the cardiac muscles', 'Helps to reduce chest pain and palpitations', 'Exerts diuretic action and reduces oedema', 'Effectively manage pulmonary congestion and reduces breathlessness', 'Helps to manage lipid levels in the body']",4.7,211 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Silicea Dilution 200 CH,SBL Pvt Ltd,NA,"['A homeopathy solution, safe for consumption', 'Beneficial for bone health', 'Caters to problems relating to stool', 'Soothes sciatic pain']",4.5,620 Ratings
SBL Bio-Combination 19 Tablet,SBL Pvt Ltd,NA,"['Alleviates joint and muscle pain', 'Helps reduce stiffness', 'Relieves inflammatory complaints', 'Suitable for back and shoulder pain']",4.5,424 Ratings
SBL Ginkgo Biloba Mother Tincture Q,SBL Pvt Ltd,NA,"['Regulates high blood pressure and arteriosclerosis', 'Provides effective relief from cough and chest pain', 'Useful in\xa0treating\xa0burning sensation in throat and nose blockage', 'Helps in healing eruptions and cracks on the skin']",4.6,284 Ratings
Dr. Reckeweg Calc Fluor Dilution 30 CH,Dr Reckeweg & Co,NA,"['Reduces swelling on the bones', 'Useful for various skin conditions', 'Helps to relieve pains', 'Deals with varicose veins']",4.4,69 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
SBL Avena Sativa Mother Tincture Q,SBL Pvt Ltd,NA,"['Natural supplement for energy and immunity', 'Aids in promoting a better sleep cycle', 'Promotes healthy hormonal balance', 'Enriched with natural ingredients, ensuring safety and no side effects']",4.5,443 Ratings
Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Reduces headache', 'Helps regulate blood pressure', 'Relieves joint pain', 'Promotes cardiovascular wellness']",4.6,380 Ratings
SBL Caladium Seguinum Dilution 30 CH,SBL Pvt Ltd,NA,"['Treats conditions related to sexual exhaustion in men', 'Provides relief from stomach pain and cramps', 'Relieves chest congestion and lung disorders']",4.2,779 Ratings
Bakson's Homeopathy Homoeopathic Formula 'D' Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Formula ‘D’ Tablets are effective against eczema and lichen planus', 'Offer relief from skin conditions and reduce the burning, redness, dryness, itching and swelling', 'Used for the treatment of dermatitis', 'Contains Calcarea fluorica that is useful for fissures or cracks in palms and hard skin', 'Formula ‘D’ Tablets contain Rhus tox. helpful for intense itching, urticaria, burning, eczema, and eruptions containing fluid']",4.1,321 Ratings
Dr. Reckeweg Bio-Combination 17 (BC 17) Tablet,Dr Reckeweg & Co,NA,"['Helps in relieving haemorrhoids', 'Reduces pain in bleeding piles', 'Aids in reducing back pain']",4.4,207 Ratings
Dr. Reckeweg R43 Bronchial Drop,Dr Reckeweg & Co,NA,"['It helps in the treatment of asthma', 'It relieves irritation and dry cough', 'It aids in reducing asthmatic bronchitis']",4.5,151 Ratings
Dr. Reckeweg Magnesium Phosphoricum Biochemic Tablet 6X,Dr Reckeweg & Co,NA,"['Effective management for a range of health issues', 'Relieves headache', 'Natural remedy addressing specific ear-related issues', 'Oral health benefits and swelling reduction', 'Relieves abdominal pain and gas discomfort']",4.5,182 Ratings
SBL Cholesterinum Trituration Tablet 3X,SBL Pvt Ltd,NA,"['Acts as a liver tonic', 'Regulates cholesterol levels', 'Effective remedy in gallstones and jaundice']",4.6,341 Ratings
SBL Calendula Officinalis Mother Tincture Q,SBL Pvt Ltd,NA,"['Effective in the management of injuries in any part of the body', 'Provides rapid relief from pain and discomfort', 'Addresses both acute and chronic pain conditions', 'Manages mouth ulcers and prevents their formation']",4.6,488 Ratings
Dr. Reckeweg R23 Eczema Drop,Dr Reckeweg & Co,NA,"['Effective for managing eczema', 'Helps in reducing the formation of blisters', 'Helps alleviate acne and skin rashes']",4.5,237 Ratings
SBL Tranquil Tablet,SBL Pvt Ltd,NA,"['It helps relieve stress, anxiety and depression', 'It can help to promote natural sleep', 'It causes no drowsiness']",4.6,357 Ratings
Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Most reliable remedy in insomnia due to pain and inflammatory conditions in acute diseases', 'Efficient antispasmodic that provides great and instant relief', 'indicated in whooping cough, delirium, convulsions in children and painful menstruation', 'Useful in complaints of flatulence, diarrhoea and indigestion', 'Helps in controlling sleep patterns']",4.6,362 Ratings
SBL Nixocid Syrup,SBL Pvt Ltd,NA,"['Helps restore enzyme balance', 'Relieves acidity', 'Helps normalise the pH dimension of the stomach']",4.5,303 Ratings
ADEL 17 Glautaract Drop,Adel Pekana Germany,NA,"['Natural formulation that acts as excellent nourishment for eyes', 'Helps to reduce conjunctivitis and eye irritation', 'Can be beneficial for conditions like glaucoma and cataract']",4.5,193 Ratings
Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"[""It may maintain men's reproductive health"", 'Removes infection and manages other problems of the prostate gland', 'Enhances libido']",4.1,627 Ratings
ADEL 9 Cri-Regen Drop,Adel Pekana Germany,NA,"['Aids in moisturising, reconstructing, and volumizing the hair', 'Works on revitalising and strengthening the hair', 'Helps to restore hair volume']",4.4,143 Ratings
Dr. Reckeweg R51 Thyroid Intoxication Drop,Dr Reckeweg & Co,NA,"['It helps in the management of thyroid toxicity', 'It provides relief from diarrhoea and overall weakness', 'It reduces excess perspiration']",4.6,185 Ratings
New Life Aller-N Drop,New Life Laboratories Pvt Ltd,NA,"['Maintains a healthy immune system', 'Helps relieve cold allergy', 'Manages sneezing']",4.3,226 Ratings
Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Reduces arthritic pains in legs beginning from the back', 'Reduces inflammation and pain in the gall bladder', 'Manages constipation and diarrhoea']",4.4,315 Ratings
ADEL 39 Apo-Sciatica Drop,Adel Pekana Germany,NA,"['Regulates the metabolism of the liver and the eliminating power of the kidneys', 'Acts against drawing and tearing pains in the muscles within irritating pains', 'Helps in balancing the blood pressure and categorising inflamed regions and stagnations', 'Supports in relieving neuralgia and muscle rheumatism']",4.4,343 Ratings
Dr. Reckeweg Thuja Occ Dilution 200 CH,Dr Reckeweg & Co,NA,"['Helps to provide relief in case of Rheumatic, Arthritic pains, and chronic headaches', 'Facilitates aid in case of warts, spots, swelling, and eruptions on the skin', 'Helps to overcome indigestion, lack of appetite, and constipation', 'Useful in case of urinary disorders']",4.5,600 Ratings
SBL Acidum Phosphoricum Mother Tincture Q,SBL Pvt Ltd,NA,"['Alleviates headaches and eye soreness', 'Improves digestion', 'Useful for nausea and vomiting', 'Helps to prevent hair fall']",4.5,306 Ratings
SBL Hamamelis Virginica Mother Tincture Q,SBL Pvt Ltd,NA,"['Helps in the treatment of pains associated with haemorrhages and haemorrhoids', 'Reduces bruises and soreness in the affected parts', 'Provides a sense of relaxation and relieves pains by acting on the veins']",4.5,243 Ratings
ADEL 12 Dercut Drop,Adel Pekana Germany,NA,"['Primarily used for the treatment of various skin issues', 'Useful in the treatment of acute and chronic eczema', 'Helpful in the case of severe itching with redness of skin', 'Beneficial in the case of pimples, herpes, rashes, eschar']",4.4,218 Ratings
SBL Pulsatilla Nigricans Dilution 200 CH,SBL Pvt Ltd,NA,"['An effective solution for multiple health concerns', 'Relieves dry cough and sore throat', 'Soothes chronic ear pain and otitis media', 'Provides relief from headaches and migraines']",4.6,760 Ratings
Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps manage excessive cough and cold', 'Helps relieve belching and acidity', 'Helps reduce the urge to urinate constantly', 'Supports in case of enlarged prostate']",4.5,312 Ratings
SBL Diaboherb Capsule,SBL Pvt Ltd,NA,"['Helps to manage the blood sugar levels', 'Helps to provide relief in case of frequent urination, increased thirst, and appetite', 'Helps to increase the production of insulin']",4.4,83 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
Haslab Laxyalo Caplet,HASLAB,NA,"['Improves the digestive process', 'Eliminates acidity', 'Improves appetite', 'Soothes the discomfort caused by indigestion']",4.4,53 Ratings
SBL Kali Bichromicum Dilution 30 CH,SBL Pvt Ltd,NA,"['Reduces pain and fullness between eyebrows', 'Manages sense of smell and eases nasal blockage', 'Alleviates burning pain in the throat']",4.5,431 Ratings
Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Homeopathic formulation that has antipsychotic and anti hypertensive action', 'Reduces the frequency of loose stools', 'Calms the nervous system and reduces anxiety', 'Alleviates irritability and restlessness']",4.5,285 Ratings
Bakson's Homeopathy Spondy Aid Drop,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"[""Bakson's Spondy Aid Drops is a homoeopathic medicine for back pain caused by spine degeneration"", 'Ideal for lumbar spondylosis, prevent joint degeneration, and relieves stiffness and aches', 'Alleviates other symptoms like vertigo, nausea, giddiness and weakness accompanying back pain', 'Reliable and effective homoeopathic medicine for back pain']",4.5,256 Ratings
Lord's Ylo Tablet,Lord's Homoeopathic Laboratory Pvt Ltd,NA,"['Effective laxative tablets for constipation relief', 'Manages concerns causing infrequent stool', 'Maintains healthy bowel movements']",4.5,113 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
Haslab Drox 24 Sciatec Drop,HASLAB,NA,"['Relieves pressure on the sciatic nerve', 'Reduces dragging pain', 'Alleviates calf pain', 'Useful for sciatic pain']",4.4,118 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Bakson's Homeopathy Hite Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Promotes natural height growth in children', 'Provides necessary nutrients for optimal growth', 'Helps in overall physical development', 'Boosts immunity and supports brain development', 'Safe and effective for children']",4.1,70 Ratings
ADEL 2 Apo-Ham Drop,Adel Pekana Germany,NA,"['It is beneficial in the case of piles and fistula', 'Helps to provide instant relief from pain and swelling', 'Provides relief from problems such as severe constipation, inflammation and bleeding', 'It helps in the shrinkage of the piles and promotes easy passage of stools']",4.6,171 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Dr Willmar Schwabe India Cydonia Vulgaris Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Increases energy and stamina levels', 'Useful for diarrhoea and dysentery', 'Promotes overall health and well-being']",4.2,398 Ratings
SBL Fucus Vesiculosus Mother Tincture Q,SBL Pvt Ltd,NA,"['Aids in reducing flatulence, managing digestion, and relieving constipation', 'Manages healthy weight', 'Provides relief from severe forehead pain and headache']",4.6,175 Ratings
Bangalore Bio-Plasgens Soundarya Complexion Cream,Bangalore Bio-Plasgens,NA,NA,4.3,323 Ratings
Hapdco Marks Go Cream,HAPDCO,NA,"['Facilitates lightening of stretch marks and scars', 'Helps to remove blemishes, dark circles, and burn marks']",4.1,362 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
SBL Cephalandra Indica Mother Tincture Q,SBL Pvt Ltd,NA,"['Effective remedy for managing various ailments including mouth ulcers, skin-related concerns, gout, and cough', 'Addresses concerns associated with kidney', 'Regulates glucose levels in urine']",4.6,364 Ratings
SBL AF-Tabs Tablet,SBL Pvt Ltd,NA,"['It helps to relieve harsh and dry cough with pain in the chest', 'It improves convulsive cough, catarrh and hoarseness in the throat', 'It is helpful for spasmodic cough and viscous mucus']",4.7,238 Ratings
Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,Wheezal Homeo Pharma,NA,"['Nourishes and strengthens the hair', 'Reduces hair loss and dandruff', 'Manages the formation of split ends', 'Promotes hair growth']",4.2,299 Ratings
SBL Homeocal Tablet,SBL Pvt Ltd,NA,"['Safe to use formulation for osteoporosis', 'Helps reduce joint pain and backache', 'Aids in improving metabolism', 'Helps maintain hormonal imbalance']",4.6,606 Ratings
SBL Ruta Graveolens Dilution 200 CH,SBL Pvt Ltd,NA,"['Manages concerns associated with arthritic and rheumatic pains', 'Relieves sprain in ankles, knees, feet and lower back', 'Reduces pain in muscles, joints and bones', 'Safe to use with no side effects']",4.6,729 Ratings
Allen Snorid Drop,Allen Homoeo & Herbal Products Ltd,NA,"['Helps in the management of snoring disorders', 'Removes the blockage in the air passage', 'Allows to get a sleep free of any constriction of throat glands or larynx', 'No known side effects']",4.2,174 Ratings
Dr. Reckeweg Belladonna Dilution 30 CH,Dr Reckeweg & Co,NA,"['Alleviates gastrointestinal spasms', 'Useful for bladder and biliary tract issues', 'Relieves rheumatic and arthritic pains', 'Helpful for stomach ache']",4.7,416 Ratings
Dr Willmar Schwabe India Fucus Vesiculosus Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helpful in case of thyroid enlargement', 'Helps relieve constipation', 'Supports digestion', 'Helps relieve headaches']",4.5,108 Ratings
Dr. Reckeweg Biochemic Combination 25 (BC 25) Tablet,Dr Reckeweg & Co,NA,"['Helps in reducing hyperacidity', 'Aids in relieving gastric disturbances', 'Provides relief in abdominal pain']",4.6,181 Ratings
SBL Arnica Montana Herbal Shampoo With Conditioner,SBL Pvt Ltd,NA,"['Helps manage hair problems like dandruff and hair fall', 'Nourishes hair follicles and makes hair smooth and shiny', 'Moisturises the scalp and prevents it from getting itchy and flaky']",4.4,423 Ratings
Wheezal Jaborandi Hair Treatment Oil,Wheezal Homeo Pharma,NA,"['Helps to counter dandruff and prevents hair loss', 'Beneficial in case of greying of hair', 'Maintains healthy blood flow to the scalp', 'Helps to prevent the growth of split ends']",4.3,640 Ratings
Dr. Reckeweg R95 Alfalfa Tonic,Dr Reckeweg & Co,NA,"['Helps to overcome lack of appetite, loss of weight, weariness, anxiety, and impotence', 'Facilitates normal functioning of the nervous system', 'Works to provide relief in case of muscle cramps', 'Energises vital functions in the body and promotes overall health']",4.5,213 Ratings
SBL Antimonium Tartaricum Dilution 30 CH,SBL Pvt Ltd,NA,"['It helps in treating cough and relieving congestion in the chest', 'Useful in treating symptoms of Bronchitis', 'Helps in fighting weakness or exhaustion']",4.5,453 Ratings
SBL Thuja Occidentalis Mother Tincture Q,SBL Pvt Ltd,NA,"['Removes unwanted moles and warts', 'Addresses minor skin ailments', 'May have laxative properties in it', 'Helps with rheumatic and arthritic pain', 'Deals with gastric issues']",4.5,278 Ratings
Dr Willmar Schwabe India Withania Somnifera (Aswagandha) Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps lower blood sugar levels', 'Helps to manage stress and anxiety', 'Helps reduce inflammation', 'Helps relieve joint pain and skin sores']",4.5,310 Ratings
SBL Urtica Urens Mother Tincture Q,SBL Pvt Ltd,NA,"['It is used for the treatment of skin disorders such as burns and insect bites', 'It can be used as a relief measure for pains associated with rheumatism and arthritis', 'This medicine is based on a homoeopathic formulation and has no side effects']",4.6,470 Ratings
Dr Willmar Schwabe India Ruck-Pain,Dr Willmar Schwabe India Pvt Ltd,NA,"['It can help manage cervical spondylitis', 'It may aid in managing spondylosis', 'It may relieve general lower back pain', 'The remedy may relieve pain back from a fall']",4.5,96 Ratings
ADEL 36 Pollon Drop,Adel Pekana Germany,NA,"['Stimulates the blood circulation in the groin and lowers the blood pressure', 'Useful in nervous weakness resulting from long-continued sexual aberrations', 'Reduces nightly emissions and controls conditions leading to premature ejaculation', 'Smoothes muscles of the blood vessels provides more blood supply to the sexual organ']",4.3,195 Ratings
Wheezal Power Up+ Drop,Wheezal Homeo Pharma,NA,"['Indicated in male impotency, erectile dysfunction, spermatorrhoea, lack of libido, priapism and neurasthenia', 'May help to improve overall sexual health in males and helps to increase the sexual desire', 'It also increases confidence, energy and stamina', 'It improves sexual vitality while treating mental depression and loss of nervous energy', 'It is indicated in congestive conditions of the sexual organs, is a powerful stimulant for male genital functions']",3.8,99 Ratings
SBL Vertefine Drop,SBL Pvt Ltd,NA,"['Effective lumbago management', 'Maintains joint mobility and flexibility', 'Relieves lower backache pain']",4.5,338 Ratings
Dr. Reckeweg R89 Hair Care Drop (30ml Each),Dr Reckeweg & Co,NA,"['Helps prevent hair fall', 'Promote strong and healthy hair', 'Restores hair strength and volume']",4,11 Ratings
Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Manages cramps and sciatica', 'Assists in nervous phenomena', 'Manages all maladies having their origin in nerve cells']",4.6,70 Ratings
SBL Allium Cepa Dilution 30 CH,SBL Pvt Ltd,NA,"['Offers remedy for respiratory-related concerns', 'Manages eye infections', 'Addresses ocular infections effectively', 'Eases discomfort associated with ear pain', 'Indicated for burning pain in the nose, skin, throat, and bladder']",4.5,497 Ratings
Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['It can help manage tenacious discharge from the nose, eyes and ear', 'Beneficial in dealing with catarrhal symptoms', 'Helps deal with fissures around the mouth, with white coated tongue', 'It can help deal with skin and eye ailments']",4.5,179 Ratings
Dr. Reckeweg Bryonia Alba Dilution 30 CH,Dr Reckeweg & Co,NA,"['It is primarily used for the treatment of influenza, coryza, arthritis and rheumatism', 'It relieves symptoms of flu such as constant sneezing and cold', 'Helpful in treating issues related to the respiratory system such as dry cough, asthma and difficulty breathing']",4.7,465 Ratings
Bakson's Homeopathy Natrum Sulphuricum Biochemic Tablet 6X,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['It can help to maintain good liver health', 'It can help to reduce headaches', 'It may help to condition diarrhoea', 'It also helps to manage symptoms of gout']",4.6,43 Ratings
Bakson's Homeopathy Kali Phosphoricum Biochemic Tablet 6X,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Manages\xa0 Neurasthenia', 'Effective in septic Haemorrhages', 'For Diarrhoea, Dysentery, adynamic or Typhoid conditions']",4.5,38 Ratings
Bakson's Homeopathy Ferrum Phosphoricum Biochemic Tablet 6X,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Helps in reducing weakness and fatigue', 'Promotes quick recovery from illness', 'Effective against pain in joints and shoulder']",4.5,22 Ratings
Dr. Reckeweg R55 All Kinds Of Injuries Drop,Dr Reckeweg & Co,NA,"['It helps in healing luxation and sprain', 'It aids in faster recovery of fracture', 'It reduces inflammation and septic issues']",4.6,207 Ratings
Dr. Reckeweg R17 Glandular Enlargement Drop,Dr Reckeweg & Co,NA,"['Contains anti-inflammatory properties', 'Reduces glandular swellings', 'Provides relief from skin conditions']",4.5,134 Ratings
Bakson's Homeopathy Calci Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Provides holistic calcium supports for pregnancy, menopause, and aging', 'Calcarea carbonica and silicea strengthens bones and alleviates cramps', 'Silicea promotes wellness in growing children, fights bone issues', 'Embrace homeopathic power for strong, flexible bones']",4.4,82 Ratings
SBL Drops No. 1 (For Hair Care),SBL Pvt Ltd,NA,"['Promotes healthy hair growth', 'Nourishes and strengthens hair roots', 'Addresses hair and scalp issues', 'Enhances hair shine and volume']",4.3,179 Ratings
Dr Willmar Schwabe India Alpha - MP Drop,Dr Willmar Schwabe India Pvt Ltd,NA,"['Provides an effective relief from various muscular pains', 'Alleviates soreness in muscles', 'Manages spasmodic muscle pain, cramps, and rheumatic pains']",4.4,289 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
Dr. Reckeweg Cholesterinum Trituration Tablet 3X,Dr Reckeweg & Co,NA,"['Relieves pain in the liver region', 'Reduces inflammation of pancreas and kidneys', 'Effective in treating kidney stones']",4.6,223 Ratings
